"itemId";"itemName";"imageIcon";"imageFull";"itemType"
910;"Agility cape";"";"156";"cape"
911;"Attack cape";"";"271";"cape"
912;"Ava's accumulator";"";"273";"cape"
913;"Ava's attractor";"";"275";"cape"
914;"Bonesack";"";"9";"cape"
916;"Cape of legends";"";"596";"cape"
917;"Hitpoints cape";"";"1151";"cape"
918;"Construct. cape";"";"658";"cape"
919;"Cooking cape";"";"660";"cape"
950;"Defence cape";"";"743";"cape"
951;"Diving apparatus";"";"773";"cape"
952;"Farming cape";"";"905";"cape"
953;"Fire cape";"";"915";"cape"
954;"Firemaking cape";"";"919";"cape"
955;"Fishing cape";"";"923";"cape"
956;"Fletching cape";"";"929";"cape"
957;"Ghostly cloak";"";"976";"cape"
958;"Mining cape";"";"1390";"cape"
959;"Moonclan cape";"";"1454";"cape"
960;"Prayer cape";"";"1630";"cape"
961;"Saradomin cloak";"";"1864";"cape"
962;"Slayer cape";"";"1970";"cape"
963;"Smithing cape";"";"1981";"cape"
964;"Spotted cape";"";"2014";"cape"
965;"Spottier cape";"";"2015";"cape"
966;"Thieving cape";"";"2159";"cape"
967;"Obsidian cape";"";"1534";"cape"
968;"Quest point cape";"";"1670";"cape"
969;"Strength cape";"";"2080";"cape"
970;"Ranging cape";"";"1685";"cape"
971;"Magic cape";"";"1350";"cape"
972;"Runecraft cape";"";"1827";"cape"
973;"Herblore cape";"";"1148";"cape"
974;"Crafting cape";"";"677";"cape"
975;"Woodcutting cape";"";"2333";"cape"
976;"Hunter cape";"";"1166";"cape"
977;"Saradomin cape";"";"1862";"cape"
978;"Ham cloak";"";"1124";"cape"
979;"Blue cape";"";"445";"cape"
980;"Zamorak cape";"";"2372";"cape"
981;"Zamorak cloak";"";"2374";"cape"
982;"Guthix cape";"";"1101";"cape"
983;"Graceful cape";"";"1031";"cape"
984;"Lunar cape";"";"1339";"cape"
985;"Mourner cloak";"";"1469";"cape"
986;"Eagle cape";"";"844";"cape"
987;"Decorative armour (quiver)";"";"724";"cape"
988;"Castlewars cloak (Saradomin)";"";"599";"cape"
989;"Castlewars cloak (Zamorak)";"";"600";"cape"
990;"Black cape";"";"353";"cape"
991;"Explorer backpack";"";"886";"cape"
992;"Bandos cloak";"";"285";"cape"
993;"Ancient cloak";"";"192";"cape"
994;"Armadyl cloak";"";"30";"cape"
995;"Team-6 cape";"";"2153";"cape"
996;"Team-16 cape";"";"2114";"cape"
997;"Team-26 cape";"";"2125";"cape"
998;"Team-36 cape";"";"2136";"cape"
999;"Team-46 cape";"";"2147";"cape"
1000;"Team-20 cape";"";"2119";"cape"
1001;"Team-30 cape";"";"2130";"cape"
1002;"Team-40 cape";"";"2141";"cape"
1003;"Team-50 cape";"";"2152";"cape"
1004;"Team-1 cape";"";"2107";"cape"
1005;"Team-11 cape";"";"2109";"cape"
1006;"Team-21 cape";"";"2120";"cape"
1007;"Team-31 cape";"";"2131";"cape"
1008;"Achievement diary cape";"";"61";"cape"
1009;"3rd age cloak";"";"5";"cape"
1010;"Music cape";"";"1482";"cape"
1011;"Max cape";"";"1370";"cape"
1012;"Fremennik brown cloak";"";"940";"cape"
1013;"Fremennik blue cloak";"";"937";"cape"
1014;"Fremennik green cloak";"";"944";"cape"
1015;"Fremennik red cloak";"";"952";"cape"
1016;"Fremennik grey cloak";"";"945";"cape"
1017;"Fremennik yellow cloak";"";"963";"cape"
1018;"Fremennik teal cloak";"";"962";"cape"
1019;"Fremennik purple cloak";"";"951";"cape"
1020;"Fremennik pink cloak";"";"950";"cape"
1021;"Fremennik black cloak";"";"935";"cape"
1022;"Fremennik cyan cloak";"";"942";"cape"
1023;"Red cape";"";"1692";"cape"
1024;"Yellow cape";"";"2358";"cape"
1025;"Green cape";"";"1058";"cape"
1026;"Orange cape";"";"1567";"cape"
1027;"Deadman's cape";"";"714";"cape"
1028;"Fire max cape";"";"916";"cape"
1029;"Zamorak max cape";"";"2385";"cape"
1030;"Saradomin max cape";"";"1875";"cape"
1031;"Guthix max cape";"";"1112";"cape"
1032;"Team-43 cape";"";"2144";"cape"
1033;"Cabbage cape";"";"587";"cape"
1034;"Monkey (Monkey Madness II)";"";"1449";"cape"
1035;"Clue hunter cloak";"";"650";"cape"
1036;"Obsidian cape (r)";"";"1535";"cape"
1037;"Team cape i";"";"2104";"cape"
1038;"Team cape zero";"";"2106";"cape"
1039;"Team cape x";"";"2105";"cape"
1040;"Team-9 cape";"";"2156";"cape"
1041;"Team-19 cape";"";"2117";"cape"
1042;"Team-29 cape";"";"2128";"cape"
1043;"Team-39 cape";"";"2139";"cape"
1044;"Team-49 cape";"";"2150";"cape"
1045;"Team-8 cape";"";"2155";"cape"
1046;"Team-48 cape";"";"2149";"cape"
1047;"Team-2 cape";"";"2118";"cape"
1048;"Team-3 cape";"";"2129";"cape"
1049;"Team-4 cape";"";"2140";"cape"
1050;"Team-5 cape";"";"2151";"cape"
1051;"Team-7 cape";"";"2154";"cape"
1052;"Team-12 cape";"";"2110";"cape"
1053;"Team-13 cape";"";"2111";"cape"
1054;"Team-14 cape";"";"2112";"cape"
1055;"Team-15 cape";"";"2113";"cape"
1056;"Team-17 cape";"";"2115";"cape"
1057;"Team-18 cape";"";"2116";"cape"
1058;"Team-23 cape";"";"2122";"cape"
1059;"Team-24 cape";"";"2123";"cape"
1060;"Team-25 cape";"";"2124";"cape"
1061;"Team-32 cape";"";"2132";"cape"
1062;"Team-33 cape";"";"2133";"cape"
1063;"Team-34 cape";"";"2134";"cape"
1064;"Team-35 cape";"";"2135";"cape"
1065;"Team-38 cape";"";"2138";"cape"
1066;"Team-44 cape";"";"2145";"cape"
1067;"Team-45 cape";"";"2146";"cape"
1068;"Team-47 cape";"";"2148";"cape"
1069;"Team-22 cape";"";"2121";"cape"
1070;"Team-27 cape";"";"2126";"cape"
1071;"Team-28 cape";"";"2127";"cape"
1072;"Team-42 cape";"";"2143";"cape"
1073;"Ardougne max cape";"";"242";"cape"
1074;"Sack of presents";"";"1833";"cape"
1075;"Infernal cape";"";"1184";"cape"
1076;"Infernal max cape";"";"1186";"cape"
1077;"Champion's cape";"";"608";"cape"
1078;"Imbued saradomin max cape";"";"1177";"cape"
