article,version_number,version,name,image,id,combat,size,attributes,hitpoints,att,str,def,mage,range,attbns,strbns,amagic,mbns,arange,rngbns,dstab,dslash,dcrush,dmagic,drange
Tz-Kih,,,Tz-Kih,[[File:Tz-Kih.png|Tz-Kih]],"2189,2190,3116,3117",22,1,,10,20,30,15,15,30,0,0,0,0,0,0,0,0,0,0,0
Mithril dragon,,,Mithril dragon,[[File:Mithril dragon.png|280px]],"2919,8088,8089",304,4,"dragon,fiery",254,268,268,268,168,168,0,0,0,0,0,0,50,100,70,30,90
Thug,,,Thug,[[File:Thug.png|130px]],525,10,1,,18,7,5,9,1,1,5,5,0,0,0,0,2,3,3,0,0
Banshee,,,Banshee,[[File:Banshee.png|140px]],414,23,2,"undead, spectral",22,22,15,22,1,1,0,0,0,0,0,0,5,5,5,0,5
TzHaar-Xil,1,Sword,TzHaar-Xil,[[File:TzHaar-Xil (sword).png|180px]],"2168,2171",133,1,,120,140,100,100,40,120,0,0,0,0,0,0,0,0,0,0,0
TzHaar-Xil,2,Knife,TzHaar-Xil,[[File:TzHaar-Xil (knife).png|180px]],"2167,2170",133,1,,120,140,100,100,40,120,0,0,0,0,0,0,0,0,0,0,0
TzHaar-Xil,3,Ring,TzHaar-Xil,[[File:TzHaar-Xil (ring).png|180px]],"2169,2172",133,1,,120,140,100,100,40,120,0,0,0,0,0,0,0,0,0,0,0
Khazard warlord,1,Normal,Khazard warlord,[[File:Khazard warlord.png|150px]],"6390,7621,7622",112,1,,170,75,78,80,1,1,0,0,0,0,0,0,0,0,0,0,0
Khazard warlord,2,Hard,Khazard warlord (hard),[[File:Khazard warlord.png|150px]],6329,192,1,,255,165,170,80,1,1,0,0,0,0,0,0,0,0,0,0,0
Brine rat,,,Brine rat,[[File:Brine rat.png|200px]],4501,70,1,,50,70,79,40,1,1,0,0,0,0,0,0,0,0,0,0,0
Goblin,1,Level 2,Goblin,[[File:Goblin.png|150px]],"3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3051,3052,3053,3054,5195,5196,5197,5198,5199,5200,5201,5202,5203",2,1,,5,1,1,1,1,1,-21,-15,0,0,0,0,-15,-15,-15,-15,-15
Goblin,2,Level 2 (armed),Goblin,[[File:Goblin (armed).png|150px]],"5192,5193,5204,5205,5206,5207,5208",2,1,,5,3,1,4,1,1,-21,-15,0,0,0,0,-15,-15,-15,-15,-15
Goblin,3,Level 5,Goblin,[[File:Goblin (level 5).png|150px]],"3045,3073,3074,3075,3076",5,1,,12,3,1,4,1,1,12,12,0,0,0,0,0,0,0,0,0
Goblin,4,Level 13,Goblin,[[File:Goblin (level 13).png|150px]],3046,13,1,,16,12,13,7,1,1,0,0,0,0,0,0,4,6,8,4,4
King Black Dragon,,,King Black Dragon,[[File:King Black Dragon.png|290px]],239,276,5,"dragon,fiery",240,240,240,240,240,1,0,0,0,0,0,0,70,90,90,80,70
Crawling Hand,1,Level 7,Crawling Hand,[[File:Crawling Hand (level 7).png|200px]],450,7,1,undead,15,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,2,Level 8 (1),Crawling Hand,[[File:Crawling Hand (level 8).png|200px]],448,8,1,undead,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,3,Level 8 (2),Crawling Hand,"[[File:Crawling Hand (level 8, 1).png|200px]]",449,8,1,undead,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,4,Level 8 (3),Crawling Hand,"[[File:Crawling Hand (level 8, 2).png|200px]]",451,8,1,undead,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,5,Level 8 (4),Crawling Hand,"[[File:Crawling Hand (level 8, 3).png|200px]]",452,8,1,undead,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,6,Level 11 (unused),Crawling Hand,"[[File:Crawling Hand (unused, 1).png|200px]]",455,11,2,undead,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,7,Level 12 (1),Crawling Hand,"[[File:Crawling Hand (level 12, 1).png|200px]]",453,12,2,undead,19,11,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,8,Level 12 (2),Crawling Hand,"[[File:Crawling Hand (level 12, 2).png|200px]]",454,12,2,undead,19,11,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,9,Level 12 (unused 1),Crawling Hand,"[[File:Crawling Hand (unused, 2).png|200px]]",456,12,2,undead,19,11,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0
Crawling Hand,10,Level 12 (unused 2),Crawling Hand,"[[File:Crawling Hand (unused, 3).png|200px]]",457,12,2,undead,19,11,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Catablepon,1,Level 49,Catablepon,[[File:Catablepon.png|280px]],2474,49,2,,40,45,40,40,60,1,0,0,0,0,0,0,40,30,20,20,40
Catablepon,2,Level 64,Catablepon,[[File:Catablepon.png|280px]],2475,64,2,,70,55,50,50,45,1,0,0,0,0,0,0,50,40,30,30,50
Catablepon,3,Level 68,Catablepon,[[File:Catablepon.png|280px]],2476,68,2,,50,65,60,60,60,1,0,0,0,0,0,0,50,40,30,30,50
Lev,,,Lev,[[File:Lev.png|150px]],2619,24,1,,60,10,10,10,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Cockatrice,1,Normal,Cockatrice,[[File:Cockatrice.png|150px]],419,37,2,,37,22,37,37,1,1,0,0,0,0,0,0,10,10,0,10,0
Cockatrice,2,Unused,Cockatrice,[[File:Cockatrice (unused).png|150px]],420,37,2,,37,22,37,37,1,1,0,0,0,0,0,0,10,10,0,10,0
Elvarg,1,Normal,Elvarg,[[File:Elvarg.png|250px]],"817,8033,6349",83,4,,80,70,70,70,70,1,0,0,0,0,0,0,20,40,40,30,20
Elvarg,2,Hard,Elvarg (hard),[[File:Elvarg.png|250px]],6118,214,4,,240,210,210,70,210,1,0,0,0,0,0,0,20,40,40,30,20
Kalphite Worker,,,Kalphite Worker,[[File:Kalphite Worker.png|200px]],"955,956,961",28,2,kalphite,40,20,20,20,1,1,0,0,0,0,0,0,5,5,1,10,10
Feral Vampyre,1,Level 61,Feral Vampyre,[[File:Feral Vampyre.png|120px]],3237,61,1,vampyre1,40,55,60,55,40,1,0,0,0,0,0,0,0,0,0,0,0
Feral Vampyre,2,Level 64,Feral Vampyre,[[File:Angry vampyre.png|120px]][[File:Feral Vampyre (Meiyerditch Juvinate).png|120px]],"3707,3708,4431",64,1,vampyre1,80,55,30,60,1,1,0,0,0,0,0,0,0,0,0,0,0
Feral Vampyre,3,Level 70,Feral Vampyre,[[File:Feral Vampyre (Temple Trekking).png|120px]],5640,70,1,vampyre1,75,90,46,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Feral Vampyre,4,Level 72,Feral Vampyre,[[File:Feral Vampyre (lv 72).png|120px]],3234,72,1,vampyre1,50,65,70,65,50,1,0,0,0,0,0,0,0,0,0,0,0
Feral Vampyre,5,Level 77,Feral Vampyre,[[File:Feral Vampyre (GWD).png|120px]],3137,77,1,vampyre1,60,65,66,81,1,1,0,0,0,0,0,0,0,0,0,0,0
